Date,VN30F1M
2022-09-28 03:30:00,0.611
2022-09-28 03:45:00,1.0017
2022-09-28 04:00:00,0.9981
2022-09-28 04:15:00,0.9987
2022-09-28 04:30:00,0.998
2022-09-28 04:45:00,0.9981
2022-09-28 06:15:00,1.0033
2022-09-28 06:30:00,1.0045
2022-09-28 06:45:00,1.0049
2022-09-28 07:00:00,1.0017
2022-09-28 07:15:00,0.8064
2022-09-28 07:30:00,0.8056
2022-09-28 07:45:00,0.0
2022-09-28 08:00:00,0.0
2022-09-29 02:15:00,0.0
2022-09-29 02:30:00,0.0
2022-09-29 02:45:00,0.4972
2022-09-29 03:00:00,0.4968
2022-09-29 03:15:00,0.8987
2022-09-29 03:30:00,0.8977
2022-09-29 03:45:00,-0.0959
2022-09-29 04:00:00,-0.096
2022-09-29 04:15:00,-0.0959
2022-09-29 04:30:00,-0.0959
2022-09-29 04:45:00,-0.2894
2022-09-29 06:15:00,-0.1877
2022-09-29 06:30:00,-0.1874
2022-09-29 06:45:00,-0.1872
2022-09-29 07:00:00,-0.1878
2022-09-29 07:15:00,-0.1875
2022-09-29 07:30:00,-0.1857
2022-09-29 07:45:00,0.0
2022-09-29 08:00:00,0.0
2022-09-30 02:15:00,0.0
2022-09-30 02:30:00,0.0
2022-09-30 02:45:00,0.0
2022-09-30 03:00:00,0.0
2022-09-30 03:15:00,0.5097
2022-09-30 03:30:00,0.509
2022-09-30 03:45:00,0.509
2022-09-30 04:00:00,0.509
2022-09-30 04:15:00,0.6101
2022-09-30 04:30:00,0.6077
2022-09-30 04:45:00,0.6077
2022-09-30 06:15:00,-0.2022
2022-09-30 06:30:00,-0.2022
2022-09-30 06:45:00,-0.4872
2022-09-30 07:00:00,-0.4908
2022-09-30 07:15:00,0.6122
2022-09-30 07:30:00,0.613
2022-09-30 07:45:00,0.0
2022-09-30 08:00:00,0.0
2022-10-03 02:15:00,0.0
2022-10-03 02:30:00,0.0
2022-10-03 02:45:00,-0.4972
2022-10-03 03:00:00,-0.4959
2022-10-03 03:15:00,-0.4951
2022-10-03 03:30:00,-0.4926
2022-10-03 03:45:00,-0.4805
2022-10-03 04:00:00,-0.4775
2022-10-03 04:15:00,-0.4766
2022-10-03 04:30:00,-0.4752
2022-10-03 04:45:00,-0.4752
2022-10-03 06:15:00,0.9983
2022-10-03 06:30:00,0.999
2022-10-03 06:45:00,0.9915
2022-10-03 07:00:00,0.9952
2022-10-03 07:15:00,0.9856
2022-10-03 07:30:00,0.9821
2022-10-03 07:45:00,0.0
2022-10-03 08:00:00,0.0
2022-10-04 02:15:00,0.0
2022-10-04 02:30:00,0.0
2022-10-04 02:45:00,0.4972
2022-10-04 03:00:00,0.495
2022-10-04 03:15:00,0.4937
2022-10-04 03:30:00,0.4926
2022-10-04 03:45:00,0.4937
2022-10-04 04:00:00,0.4913
2022-10-04 04:15:00,0.2855
2022-10-04 04:30:00,0.2872
2022-10-04 04:45:00,0.2872
2022-10-04 06:15:00,0.2882
2022-10-04 06:30:00,0.2881
2022-10-04 06:45:00,1.002
2022-10-04 07:00:00,0.9982
2022-10-04 07:15:00,0.3892
2022-10-04 07:30:00,0.3845
2022-10-04 07:45:00,0.0
2022-10-04 08:00:00,0.0
2022-10-05 02:15:00,0.0
