Date,VN30F1M
2022-09-20 04:00:00,0.4508
2022-09-20 04:12:00,-0.0207
2022-09-20 04:24:00,-0.0207
2022-09-20 04:36:00,-0.0437
2022-09-20 06:12:00,-0.1805
2022-09-20 06:24:00,0.0304
2022-09-20 06:36:00,0.1856
2022-09-20 06:48:00,1.0
2022-09-20 07:00:00,1.0001
2022-09-20 07:12:00,1.0001
2022-09-20 07:24:00,1.0025
2022-09-20 07:36:00,1.0018
2022-09-20 07:48:00,1.0001
2022-09-21 02:12:00,0.7434
2022-09-21 02:24:00,0.2734
2022-09-21 02:36:00,-0.2187
2022-09-21 02:48:00,-0.453
2022-09-21 03:00:00,-0.8166
2022-09-21 03:12:00,-0.9056
2022-09-21 03:24:00,-1.0003
2022-09-21 03:36:00,-1.0001
2022-09-21 03:48:00,-0.9999
2022-09-21 04:00:00,-0.9997
2022-09-21 04:12:00,-0.9996
2022-09-21 04:24:00,-0.9996
2022-09-21 04:36:00,-0.9995
2022-09-21 06:12:00,-1.0001
2022-09-21 06:24:00,-1.001
2022-09-21 06:36:00,-0.528
2022-09-21 06:48:00,-0.5279
2022-09-21 07:00:00,-0.2059
2022-09-21 07:12:00,-0.0674
2022-09-21 07:24:00,0.172
2022-09-21 07:36:00,0.4484
2022-09-21 07:48:00,0.5401
2022-09-22 02:12:00,0.535
2022-09-22 02:24:00,0.6268
2022-09-22 02:36:00,0.626
2022-09-22 02:48:00,0.6266
2022-09-22 03:00:00,0.6268
2022-09-22 03:12:00,0.626
2022-09-22 03:24:00,0.6259
2022-09-22 03:36:00,0.6258
2022-09-22 03:48:00,0.6255
2022-09-22 04:00:00,0.4748
2022-09-22 04:12:00,-0.1888
2022-09-22 04:24:00,-0.2602
2022-09-22 04:36:00,-0.26
2022-09-22 06:12:00,-0.189
2022-09-22 06:24:00,-0.0945
2022-09-22 06:36:00,0.928
2022-09-22 06:48:00,0.9289
2022-09-22 07:00:00,1.0
2022-09-22 07:12:00,1.0
2022-09-22 07:24:00,1.0
2022-09-22 07:36:00,0.9984
2022-09-22 07:48:00,1.0023
2022-09-23 02:12:00,0.9993
2022-09-23 02:24:00,0.9997
2022-09-23 02:36:00,0.9985
2022-09-23 02:48:00,0.998
2022-09-23 03:00:00,0.8867
2022-09-23 03:12:00,0.3589
2022-09-23 03:24:00,0.2878
2022-09-23 03:36:00,0.2879
2022-09-23 03:48:00,-0.4493
2022-09-23 04:00:00,-0.6796
2022-09-23 04:12:00,-0.9995
2022-09-23 04:24:00,-1.0
2022-09-23 04:36:00,-1.0
2022-09-23 06:12:00,-1.002
2022-09-23 06:24:00,-1.0
2022-09-23 06:36:00,-1.0001
2022-09-23 06:48:00,-1.0002
2022-09-23 07:00:00,-1.0015
2022-09-23 07:12:00,-0.9273
2022-09-23 07:24:00,-0.5471
2022-09-23 07:36:00,-0.5494
2022-09-23 07:48:00,-0.3525
2022-09-26 02:12:00,-0.3485
2022-09-26 02:24:00,-0.3545
2022-09-26 02:36:00,-0.3558
2022-09-26 02:48:00,-0.3568
2022-09-26 03:00:00,-0.2624
2022-09-26 03:12:00,-0.3568
2022-09-26 03:24:00,-0.1258
2022-09-26 03:36:00,-0.1261
2022-09-26 03:48:00,-0.3572
2022-09-26 04:00:00,-0.9285
2022-09-26 04:12:00,-0.9999
2022-09-26 04:24:00,-0.9999
2022-09-26 04:36:00,-1.0
2022-09-26 06:12:00,-0.9092
2022-09-26 06:24:00,-0.9989
2022-09-26 06:36:00,-0.9987
2022-09-26 06:48:00,-0.9981
2022-09-26 07:00:00,-0.9987
2022-09-26 07:12:00,-0.5793
2022-09-26 07:24:00,0.8887
2022-09-26 07:36:00,1.0
2022-09-26 07:48:00,1.0019
2022-09-27 02:12:00,1.0
2022-09-27 02:24:00,1.0
2022-09-27 02:36:00,0.9989
2022-09-27 02:48:00,0.9954
2022-09-27 03:00:00,0.9415
2022-09-27 03:12:00,0.9429
2022-09-27 03:24:00,0.7957
2022-09-27 03:36:00,0.5978
2022-09-27 03:48:00,0.5987
2022-09-27 04:00:00,0.5982
2022-09-27 04:12:00,0.5969
2022-09-27 04:24:00,0.597
2022-09-27 04:36:00,0.5027
2022-09-27 06:12:00,0.504
2022-09-27 06:24:00,-0.0621
2022-09-27 06:36:00,-0.062
2022-09-27 06:48:00,-0.2798
2022-09-27 07:00:00,-0.488
